Kalshi_Event,Kalshi_ID,Polymarket_Event,Polymarket_ID,Score
Will Passion UA win the Team Falcons vs. Passion UA match?,KXCSGOGAME-25DEC04FALPSSNUA-PSSNUA,Congressional term limits in 2025? ,517964,0.4927536231884058
Will Passion UA win the Team Falcons vs. Passion UA match?,KXCSGOGAME-25NOV12FALPSSNUA-PSSNUA,Congressional term limits in 2025? ,517964,0.4927536231884058
Will Astralis win the Astralis vs. M80 match?,KXCSGOGAME-25NOV29ASTM80-AST,Will Donald Trump visit Israel in 2025?,518863,0.49122807017543857
Will paiN win the paiN vs. Passion UA match?,KXCSGOGAME-25NOV14PAINPSSNUA-PAIN,Ukraine joins NATO in 2025?,516715,0.4897959183673469
Will Imperial win the The Huns Esports vs. Imperial match?,KXCSGOGAME-25NOV26THEIMP-IMP,(In-Game Trading) Who will win Suns v. Clippers: Finals Game 3?,218935,0.4883720930232558
Will Astralis win the IEM Chengdu 2025: Astralis vs. Falcons?,KXCSGOGAME-ASTFAL25-AST,Will Donald Trump visit China in 2025 ARCh?,518867,0.4819277108433735
Will Team Falcons win the Team Falcons vs. Passion UA match?,KXCSGOGAME-25NOV12FALPSSNUA-FAL,Sam Altman out as OpenAI CEO in 2025?,516847,0.48
Will Team Falcons win the Team Falcons vs. Passion UA match?,KXCSGOGAME-25DEC04FALPSSNUA-FAL,Sam Altman out as OpenAI CEO in 2025?,516847,0.48
Will Team Falcons win the Team Falcons vs. B8 match?,KXCSGOGAME-25DEC04FALB8-FAL,Sam Altman out as OpenAI CEO in 2025?,516847,0.47761194029850745
Will Passion UA win the paiN vs. Passion UA match?,KXCSGOGAME-25NOV14PAINPSSNUA-PSSNUA,Russia x Ukraine ceasefire in 2025?,516719,0.47619047619047616
Will FaZe win the IEM Chengdu 2025: MOUZ vs. FaZe?,KXCSGOGAME-MOUFAZ25-FAZ,Weed rescheduled in 2025?,516714,0.4745762711864407
Will 3DMAX win the IEM Chengdu 2025: G2 vs. 3DMAX?,KXCSGOGAME-G23DM25-3DM,Weed rescheduled in 2025?,516714,0.4745762711864407
Will FURIA win the Vitality vs. FURIA match?,KXCSGOGAME-25NOV13VITFURIA-FURIA,Will Italy win the Euro 2020?,220319,0.47368421052631576
Will paiN win the 3DMAX vs. paiN match?,KXCSGOGAME-25DEC043DMAXPAIN-PAIN,Is John McAfee alive?,519735,0.47368421052631576
